month,year,establishment,amount_chf,official_chf,non_official_chf,source_type,stay_start,stay_end,nights,avg_chf_per_night,invoice_date,ref,file,amount_source,date_source
2025-07,2025,Starling Hotel Residence Geneve,241.20,0.00,241.20,non_official,2025-07-29,2025-07-31,2,120.60,2025-07-01,5135170766,maybe/2025/07/2025-07-01-Starling Hotel Residence Geneve-2.html,montant payé,Booking arrival/departure
2025-08,2025,Starling Hotel Residence Geneve,277.50,277.50,0.00,official,2025-08-05,2025-08-07,2,138.75,2025-08-07,,Invoices_hotel/2025/08/2025-08-07-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2025-08,2025,Starling Hotel Residence Geneve,277.50,277.50,0.00,official,2025-08-12,2025-08-14,2,138.75,2025-08-07,,Invoices_hotel/2025/08/2025-08-07-Starling Hotel Residence Geneve-2.pdf,Total incl. TVA,Dates of Stay
2025-09,2025,Ramada Encore by Wyndham Geneva,231.21,0.00,231.21,non_official,2025-09-03,2025-09-05,2,115.61,2025-09-03,6685253642,maybe/2025/09/2025-09-03-Ramada Encore by Wyndham Geneva-5.html,currency-prefixed amount,Booking arrival/departure
2025-09,2025,Airbnb,209.35,209.35,0.00,official,2025-09-17,2025-09-19,2,104.68,2025-09-10,HMHQ25QT9R,maybe/2025/09/2025-09-10-Airbnb.html,montant payé,visible human date range
2025-09,2025,Ramada Encore by Wyndham Geneva,273.60,0.00,273.60,non_official,2025-09-24,2025-09-26,2,136.80,2025-09-24,6361319572,maybe/2025/09/2025-09-24-Ramada Encore by Wyndham Geneva-2.html,currency-prefixed amount,Booking arrival/departure
2025-10,2025,Ramada Encore by Wyndham Geneva,251.45,0.00,251.45,non_official,2025-10-02,2025-10-04,2,125.73,2025-10-02,5744669015,maybe/2025/10/2025-10-02-Ramada Encore by Wyndham Geneva-3.html,currency-prefixed amount,Booking arrival/departure
2025-10,2025,Starling Hotel Residence Geneve,245.50,245.50,0.00,official,2025-10-21,2025-10-23,2,122.75,2025-10-23,,Invoices_hotel/2025/10/2025-10-23-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2025-10,2025,Nash Airport Hotel,125.75,0.00,125.75,non_official,2025-10-28,2025-10-29,1,125.75,2025-10-28,,maybe/2025/10/2025-10-28-Nash Airport Hotel-3.html,montant total,Booking arrival/departure
2025-11,2025,Airbnb,168.85,0.00,168.85,non_official,2025-11-04,2025-11-06,2,84.43,2025-11-01,HMF829DHHH,maybe/2025/11/2025-11-01-Airbnb-2.html,total\s*\(chf\),json checkin/checkout fields
